REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,121 REGIONAL DISPOSAL FACILITY,1004377,3820 SAM RAYBURN HIGHWAY,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,NORTH TEXAS MUNICIPAL WATER DISTRICT (100%),325416,HH
2022,31st Street Landfill,1003742,11700 W 31ST ST,41.834962,-87.916392,WESTCHESTER,COOK COUNTY,IL,60154,CATHOLIC BISHOP OF CHICAGO (100%),106294,"C,HH"
2022,58TH ST LF (MAIN COUNTY LF),1004680,8831 NW 58TH ST,25.83301,-80.3465,MIAMI,MIAMI-DADE COUNTY,FL,33178,COUNTY OF MIAMI-DADE FLORIDA (100%),56992,HH
2022,"A.C.M.S., Inc.",1012058,835 CR 529,28.743151,-82.091653,Lake Panasoffkee,SUMTER COUNTY,FL,33538,WASTE CONNECTIONS US INC (100%),313746,HH
2022,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,1006529,611 PETAL RD,30.256038,-92.532637,EGAN,ACADIA PARISH,LA,70531,ACADIA PARISH POLICE JURY (100%),46563,HH
2022,ADM CORN PROCESSING,1006208,1251 BEAVER CHANNEL PARKWAY,41.8196,-90.2122,CLINTON,CLINTON COUNTY,IA,52732,ARCHER DANIELS MIDLAND CO (100%),180,"C,TT"
2022,ADRIAN LANDFILL,1001991,1970 N OGDEN HWY,41.885177,-84.059029,ADRIAN,LENAWEE COUNTY,MI,49221,REPUBLIC SERVICES INC (100%),6472,HH
2022,ADS-CEDAR HILL LANDFILL,1001633,1319 NO BUSINESS CREEK ROAD,33.6845,-86.2525,RAGLAND,ST. CLAIR COUNTY,AL,35131,WASTE MANAGEMENT INC (100%),24218,HH
2022,ADS-PECAN ROW-EVERGREEN LANDFILLS,1001636,2995 WETHERINGTON LANE,30.81425,-83.35981,VALDOSTA,LOWNDES COUNTY,GA,31601,WASTE MANAGEMENT INC (100%),118347,HH
2022,ADS-STAR RIDGE LANDFILL,1006790,3301 ACMAR ROAD,33.607092,-86.507602,MOODY,ST. CLAIR COUNTY,AL,35004,WASTE MANAGEMENT INC (100%),30115,HH
2022,ADS/MCLEAN COUNTY LANDFILL,1002094,2105 W OAKLAND AVE,40.465534,-89.03273,BLOOMINGTON,MCLEAN COUNTY,IL,61704,REPUBLIC SERVICES INC (100%),3526,HH
2022,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,1001845,2510 ENGEL ROAD,44.4093,-89.854855,WISCONSIN RAPIDS,WOOD COUNTY,WI,54495,WASTE MANAGEMENT INC (100%),21203,"C,HH"
2022,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",1003038,31226 INTREPID ROAD,39.73376,-92.53825,MACON,MACON COUNTY,MO,63552,WASTE MANAGEMENT INC (100%),31792,"C,HH"
2022,ADVANCED DISPOSAL OAK RIDGE LANDFILL,1006979,1741 SULPHUR SPRING ROAD,38.556639,-90.527306,BALWIN,ST. LOUIS COUNTY,MO,63021,WASTE MANAGEMENT INC (100%),4912,HH
2022,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,1001637,8290 HIGHWAY 251,42.14,-89.085,DAVIS JUNCTION,OGLE COUNTY,IL,61020,WASTE MANAGEMENT INC (100%),132971,"C,HH"
2022,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,1006963,1363 BEAR RD,39.822266,-89.043754,DECATUR,MACON COUNTY,IL,62522,WASTE MANAGEMENT INC (100%),38047,"C,HH"
2022,AKRON REGIONAL LANDFILL *,1006088,1585 HARDY ROAD,41.151282,-81.559298,AKRON,SUMMIT COUNTY,OH,44313,WASTE MANAGEMENT INC (100%),1669,HH
2022,"ALABAMA RIVER CELLULOSE, LLC",1007917,2373 LENA LANDEGGER HWY,31.580112,-87.490073,PERDUE HILL,MONROE COUNTY,AL,36470,KOCH INDUSTRIES INC (100%),107254,"AA,C,TT"
2022,ALBANY LANDFILL,1006276,525 RAPP RD,42.70324,-73.84958,ALBANY,ALBANY COUNTY,NY,12205,CITY OF ALBANY NEW YORK (100%),51552,HH
2022,ALCOA INTALCO WORKS,1003562,4050 MOUNTAIN VIEW RD.,48.8455,-122.7055,FERNDALE,WHATCOM COUNTY,WA,98248,ALCOA CORP (100%),7899,"C,F,TT"
2022,ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,1003147,240 Long Powers Road,35.73834,-84.05978,Friendsville,BLOUNT COUNTY,TN,37737,COUNTY OF BLOUNT TENNESSEE (40%); CITY OF ALCOA TENNESSEE (30%); CITY OF MARYVILLE TENNESSEE (30%),87755,HH
2022,ALL PURPOSE LANDFILL,1004335,5401 Lafayette Street,37.4135,-121.9724,SANTA CLARA,SANTA CLARA COUNTY,CA,95050,CITY OF SANTA CLARA CALIFORNIA (100%),41527,HH
2022,ALLEN COUNTY PUBLIC WORKS,1007192,1170 2800TH ST,37.901209,-95.280776,LA HARPE,ALLEN COUNTY,KS,66751,COUNTY OF ALLEN KANSAS (100%),67176,"C,HH"
2022,ALLIANCE SANI LDFL,1007645,398 KEYSER AVENUE,41.3965,-75.7375,TAYLOR,LACKAWANNA COUNTY,PA,18517,WASTE MANAGEMENT INC (100%),46423,"C,HH"
2022,ALLIED IMPERIAL LANDFILL,1006197,104 EAST ROBINSON ROAD,32.854701,-115.52505,IMPERIAL,IMPERIAL COUNTY,CA,92251,REPUBLIC SERVICES INC (100%),33560,HH
2022,ALPHA RIDGE LANDFILL,1007291,2350 MARRIOTTSVILLE ROAD,39.30718,-76.89862,MARRIOTTSVILLE,HOWARD COUNTY,MD,21104,HOWARD COUNTY OF MARYLAND (INC) (100%),21115,"C,HH"
2022,AMALGAMATED SUGAR CO LLC,1005707,138 WEST KARCHER ROAD,43.612136,-116.579232,NAMPA,CANYON COUNTY,ID,83687,AMALGAMATED SUGAR CO OREGON COOPERATIVE CORP (100%),148309,"C,S,TT"
2022,AMALGAMATED SUGAR CO LLC,1006412,50 SOUTH 500 WEST,42.611671,-113.757423,PAUL,MINIDOKA COUNTY,ID,83347,AMALGAMATED SUGAR CO OREGON COOPERATIVE CORP (100%),9809,"C,S,TT"
2022,AMERICAN AVENUE LANDFILL,1004417,18950 W AMERICAN AVENUE,36.6659,-120.1382,KERMAN,FRESNO COUNTY,CA,93630,COUNTY OF FRESNO CALIFORNIA (100%),113433,"C,HH"
2022,AMERICAN CRYSTAL SUGAR - CROOKSTON,1006354,1201 Hwy 75 South,47.764625,-96.629975,CROOKSTON,POLK COUNTY,MN,56716,AMERICAN CRYSTAL SUGAR CO (100%),33388,"C,S,TT"
2022,AMERICAN CRYSTAL SUGAR - E GRAND FORKS,1005751,1020 Business Hwy 2,47.925833,-97.006111,EAST GRAND FORKS,POLK COUNTY,MN,56721,AMERICAN CRYSTAL SUGAR CO (100%),68675,"C,S,TT"
2022,AMERICAN CRYSTAL SUGAR - HILLSBORO,1005753,121 Highway 81 NE,47.435833,-97.0625,HILLSBORO,TRAILL COUNTY,ND,58045,AMERICAN CRYSTAL SUGAR CO (100%),55783,"C,S,TT"
2022,AMERICAN CRYSTAL SUGAR - MOORHEAD,1006877,2500 NORTH 11TH STREET,46.903056,-96.759722,MOORHEAD,CLAY COUNTY,MN,56560,AMERICAN CRYSTAL SUGAR CO (100%),44532,"C,S,TT"
2022,AMERICAN ENVIRONMENTAL LANDFILL,1002552,212 N. 177TH W. AVENUE,36.163345,-96.188988,SAND SPRINGS,OSAGE COUNTY,OK,74063,AMERICAN ENVIRONMENTAL LANDFILL INC (100%),241506,"C,HH"
2022,ANCHORAGE REGIONAL LANDFILL,1007341,15500 E. EAGLE RIVER LOOP RD,61.290401,-149.604757,EAGLE RIVER,ANCHORAGE MUNICIPALITY,AK,99577,MUNICIPALITY OF ANCHORAGE - SOLID WASTE SERVICE (100%),171803,"C,HH"
