,GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,LFG Generated (mmscfy),LFG Collected (mmscfy),CH4 Generated (mmscfy),CH4 Collected (mmscfy),CH4 Generated (metric tons per year),CH4 Collected (metric tons per year),CO2e Generated (metric tons per year),CO2e Collected (metric tons per year),Generated CO2e Intensity,Collected CO2e Intensity
155,1003679.0,286,Sunshine Canyon Landfill,CA,North Valley Landfill,14747 San Fernando Road,Sylmar,Los Angeles,91342,34.32352,-118.50294,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1955.0,2037.0,Open,,350.6,200.0,,114148537.0,72985822,2022.0,2458975,2022.0,No,Not used,No,31.405,Yes,24.951,2022.0,42.3,Yes,6.0,13.477,2022.0,"1/03-McGill Model EGF-125 flares, third under construction.; 2012-521 wells, system capacity=20501 acfm.",432901,HH,11462.825,9107.115,4848.774975,3852.309645,93096.47952000001,73964.34518399999,2606701.42656,2071001.6651519998,6.0214724072247465,4.78400757945119
985,1006817.0,1459,McCommas Bluff Landfill,TX,City of Dallas,5100 Youngblood Road,Dallas,Dallas,75241,32.684168,-96.718334,No,Public,"City of Dallas, TX","City of Dallas, TX",1975.0,2054.0,Open,996.0,436.3,140.0,,73289434.0,58349377,2022.0,1389787,2022.0,Yes,Occasionally but not every year,No,20.612,Yes,12.262,2022.0,54.7,Yes,,2.019,2021.0,"3/09-Added 73 wells and upgraded collection piping between July & Oct. 2008, replaced 20 wells and upgraded more piping in 2009.; 2012-362 wells, system capacity=10400 acfm.; 8/13-417 vertical wells, 26 horizontal wells, 5 leachate collection risers.",481629,"C,HH",7523.379999999999,4475.63,4115.28886,2448.1696100000004,79013.546112,47004.856512000006,2212379.291136,1316135.982336,4.5935342164529125,2.7326759442143227
738,1004042.0,981,Seneca Meadows SWMF,NY,,1786 Salcman Road,Waterloo,Seneca,13165,42.91795,-76.84716,No,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1974.0,2025.0,Open,,250.9,85.0,,64866690.0,52621226,2022.0,1810261,2022.0,No,Occasionally but not every year,No,20.199,Yes,15.913,2022.0,49.2,Yes,4.0,1.7,2022.0,"2012-430 wells, system capacity=25211 acfm.",161101,"C,HH",7372.635,5808.245,3627.3364200000005,2857.6565400000004,69644.85926400001,54867.00556800001,1950056.0593920003,1536276.1559040002,12.104555895941058,9.536105647413736
836,1006261.0,1256,"Keystone Sanitary Landfill, Inc.",PA,,249 Dunham Drive,Dunmore,Lackawanna,18512,41.427,-75.608,No,Private,"Keystone Sanitary Landfill, Inc.","Keystone Sanitary Landfill, Inc.",1972.0,2067.0,Open,,396.8,,,152329712.0,52825826,2022.0,1947017,2022.0,No,Not used,No,19.699,Yes,19.224,2022.0,50.0,Yes,2.0,2.317,2022.0,"8/10-326 gas wells.; 2012-391 wells, system capacity=12000 acfm.",4057,"C,HH",7190.135,7016.76,3595.0675,3508.38,69025.296,67360.896,1932708.2880000002,1886105.0879999998,476.38853537096384,464.9014266699531
424,1004065.0,640,Johnson County LF,KS,"Deffenbaugh Industries, Inc.","17955 Holiday Drive
18181 W. 53rd",Shawnee,Johnson,66217,39.04226,-94.79455,Yes,Private,WM,,1967.0,2043.0,Open,1000.0,332.7,,,75126519.0,47152463,2022.0,1360466,2022.0,No,Occasionally but not every year,Yes,17.3,Yes,8.682,2022.0,54.6,Yes,4.0,2.38,2022.0,"5/05-120 gas collection wells.; 2012-255 wells, system capacity=11730 acfm.",120263,"C,HH",6314.5,3168.9300000000003,3447.717,1730.2357800000002,66196.1664,33220.526976,1853492.6592,930174.755328,15.411994206031782,7.734504837963464
113,1002107.0,62,Frank R. Bowerman SLF,CA,Bee Canyon SLF,11002 Bee Canyon Access Road,Irvine,Orange,92602,33.72053,-117.70947,Yes,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1990.0,2053.0,Open,534.0,259.6,400.0,250.0,174549200.0,64319453,2022.0,2191039,2022.0,No,Not used,No,18.264,Yes,14.132,2022.0,50.9,Yes,5.0,5.543,2022.0,"10/02-Currently flaring (4 flares @ 1500 cfm each), in the process of designing a new 4500 cfm flare.; 2012-141 wells, system capacity=11000 acfm.; 4/16-GCCS started in 1998.",397002,HH,6666.36,5158.18,3393.17724,2625.51362,65149.003008,50409.861504,1824172.084224,1411476.122112,4.594868751855155,3.555337560294406
931,1005891.0,1812,Blue Ridge LF,TX,,2200 FM 521,Fresno,Fort Bend,77545,29.5559,-95.4419,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1993.0,2096.0,Open,750.0,239.0,36.0,,134112466.0,27249191,2022.0,1355239,2022.0,No,Not used,No,16.324,Yes,13.321,2022.0,55.5,Yes,4.0,0.101,2022.0,"2012-154 wells, system capacity=7800 acfm.; 5/18-Installing 38 new wells during 2018.",319681,HH,5958.26,4862.165,3306.8343000000004,2698.5015750000002,63491.21856000001,51811.230240000004,1777754.1196800002,1450714.4467200001,5.561025271067096,4.538006471200979
773,1004856.0,1177,"Rumpke SLF, Inc.",OH,Cincinnati Regional Refuse Facility; Hamilton County-Cincinnati LF; Colerain Township Landfill,"10795 Hughes Road
3800 Struble Road",Cincinnati,Hamilton,45251,39.2745,-84.59822,Yes,Private,Rumpke,Rumpke,1945.0,2058.0,Open,,,,,165063026.0,70517484,2022.0,2498138,2022.0,No,Not used,No,17.349,Yes,10.472,2022.0,50.3,Yes,2.0,1.115,2022.0,"2012-345 wells, system capacity=8634 acfm, passive vents/flares too.",260598,"C,HH",6332.385,3822.2799999999997,3185.189655,1922.60684,61155.641376,36914.051327999994,1712357.958528,1033593.4371839998,6.570879126194368,3.9662370286187913
870,1006283.0,1845,Central LF,RI,,65 Shun Pike,Johnston,Providence,02919,41.80468,-71.50216,Yes,Private,Rhode Island Resource Recovery Corporation,Rhode Island Resource Recovery Corporation,1955.0,2030.0,Open,,244.0,,150.0,,41247592,2022.0,811416,2022.0,No,Not used,No,17.974,Yes,16.444,2022.0,46.4,Yes,,4.141,2021.0,"LFG is used for LFGTE system. Flare is utilized only when LFGTE system is down.; 2012-550 wells, system capacity=18402 acfm.",4688,"C,HH",6560.51,6002.0599999999995,3044.0766399999998,2784.9558399999996,58446.27148799999,53471.152127999994,1636495.6016639997,1497192.2595839999,349.0818262935153,319.36694956996587
221,1007856.0,397,Monarch Hill Landfill,FL,Central Disposal SLF; Mount Trashmore,"2700 NW 48th Street
(2700 Wiles Road)",Pompano Beach,Broward,33073,26.283,-80.161,No,Private,WM,WM,1965.0,2030.0,Open,366.0,314.2,,137.0,84293492.0,77055682,2022.0,1516359,2022.0,No,Not used,No,19.576,Yes,15.821,2022.0,42.2,Yes,4.0,9.953,2022.0,"9/10-322 wells over 320 acres, system installed prior to 12/1998, 3 flares (open & enclosed).; 2012-311 wells, system capacity=18500 acfm.",243643,"C,HH",7145.24,5774.665,3015.2912800000004,2436.9086300000004,57893.592576,46788.64569600001,1621020.592128,1310082.0794880001,6.653261501984461,5.377056100474876
