Landfill Operator Organization,Total CH4 Emissions,Number of Locations,Average Emission per Acre
WM,2381818.708128,139,133.76873885431635
"Republic Services, Inc.",2133409.06848,123,135.25617714540442
GFL Environmental USA Inc.,311476.720032,16,200.76608309128517
"Waste Connections, Inc.",265805.899392,19,132.97046377679544
"County of Orange - OC Waste & Recycling, CA",144507.86832,3,159.96783411258346
Waste Connections Inc. - Central Region,113273.01609599999,9,121.58713424974879
"City of Dallas, TX",79013.546112,1,181.09912012835204
"Keystone Sanitary Landfill, Inc.",69025.296,1,173.95487903225808
"Casella Waste Systems, Inc.",68728.07270399999,4,271.498644946704
Rhode Island Resource Recovery Corporation,58446.27148799999,1,239.53389954098358
